name,entry,duration,park_id
Fatima Lam,2023-12-22 22:12:47,37,162
David Yu,2021-03-17 13:44:00,43,140
Omar Vasquez,2024-06-29 22:37:14,57,117
Esteban Garcia,2024-01-16 00:24:45,32,105
Sofia Ramirez,2022-12-27 13:16:33,45,120
Jin Singh,2023-06-13 19:55:14,52,156
Aisha Escobar,2023-04-19 10:10:11,55,115
Amina Wong,2021-11-15 04:02:05,69,133
Carlos Yu,2021-01-16 05:36:09,15,113
Raj Mendez,2024-06-14 05:51:50,56,102
Raj Bautista,2023-08-08 12:39:38,57,132
Hiroshi Vasquez,2024-01-01 11:02:37,2,110
Ibrahim Fujimoto,2024-06-05 03:21:02,46,158
Raj Ahmed,2023-11-21 19:00:27,45,123
Priya Lam,2021-10-02 21:15:33,51,120
Clara Xian,2023-03-22 20:40:46,14,122
Sofia Zhang,2020-06-01 11:58:01,9,153
Vinh Ramirez,2021-08-16 00:43:02,54,162
Karim Qureshi,2022-07-05 09:57:14,13,107
Raj Takahashi,2020-10-07 19:33:48,51,112
Tariq Escobar,2021-01-07 19:35:37,70,136
Esteban Lam,2024-02-09 17:11:26,34,103
Maria Chung,2022-09-16 04:25:52,37,123
Karim Lam,2022-04-17 23:26:41,54,108
Xia Qureshi,2022-12-28 23:08:44,59,130
Tariq Ishikawa,2022-10-17 12:27:34,10,132
Priya Qureshi,2022-07-20 18:19:52,18,131
Esteban Singh,2023-09-08 16:31:05,2,148
Karim Qureshi,2021-02-15 03:05:40,12,119
Raj Davis,2023-05-31 14:20:36,70,149
Hiroshi Wong,2024-06-14 22:38:51,65,113
Raj Patel,2024-07-02 14:37:13,71,149
Zain Khan,2023-07-26 19:57:04,20,104
Omar Ali,2020-05-27 12:54:49,71,141
Tariq Ramirez,2021-09-18 08:44:09,6,136
David Chung,2024-06-12 20:49:24,59,154
Omar Fujimoto,2022-10-27 10:16:23,63,122
Priya Garcia,2020-06-07 23:15:55,3,141
Priya Patel,2023-02-01 03:50:52,17,143
Usha Ahmed,2022-02-06 12:39:51,28,123
Xia Nguyen,2020-02-08 19:44:08,71,135
Esteban Wong,2020-09-12 23:04:45,1,151
David Ali,2023-05-21 04:35:22,16,136
Esteban Davis,2024-05-15 16:34:29,57,159
Binh Patel,2020-09-14 23:42:28,29,123
Raj Xian,2022-12-20 23:06:30,13,103
Amina Escobar,2023-06-12 14:00:01,42,127
Karim Jones,2024-09-06 15:51:57,34,159
Tariq Ali,2021-02-26 02:38:31,60,143
Carlos Xian,2023-11-01 23:08:57,19,104
David Escobar,2021-05-23 20:27:00,7,133
Nina Qureshi,2024-09-13 09:31:46,53,103
Hiroshi Khan,2020-06-03 12:59:19,33,157
David Takahashi,2022-02-19 22:25:11,24,143
Maria Fujimoto,2020-05-02 02:06:00,64,141
Nina Garcia,2024-07-05 00:35:46,68,138
David Yu,2022-05-14 21:52:05,42,138
Maria Ahmed,2022-02-16 03:28:51,49,123
Raj Vasquez,2024-02-11 23:45:23,23,116
Binh Patel,2023-02-25 16:13:42,44,125
Tariq Zhang,2022-06-27 18:48:58,28,120
Sofia Escobar,2022-12-19 14:12:33,6,142
Amina Zhang,2023-03-22 11:16:41,28,135
Nina Lam,2024-09-03 16:16:39,17,118
Esteban Jones,2024-06-12 20:40:08,31,155
Raj Escobar,2023-05-22 07:08:04,49,119
Elena Ali,2021-02-02 15:27:21,13,115
Aisha Zhang,2024-05-31 08:47:05,30,143
Esteban Yu,2023-12-08 00:52:59,69,161
Ibrahim Lam,2021-01-01 04:45:39,40,150
Amina Ramirez,2024-03-21 17:14:27,18,117
Elena Chung,2023-11-07 21:57:36,42,110
Zain Fujimoto,2021-01-30 06:30:18,45,102
Yasmin Takahashi,2024-03-26 00:17:48,8,122
Priya Wong,2024-01-24 19:23:29,17,116
Chen Bautista,2024-05-04 04:54:00,32,107
Xia Vasquez,2022-05-23 13:38:34,45,136
Nina Ramirez,2021-12-18 10:00:44,19,159
Maria Xian,2020-07-17 19:27:51,53,157
Darius Nguyen,2022-06-03 07:26:29,14,125
Linh Xian,2024-06-15 12:08:26,71,141
Clara Fujimoto,2021-10-23 19:18:55,38,130
Ibrahim Khan,2020-06-26 10:11:59,7,138
Nina Davis,2021-04-26 09:08:21,57,141
Xia Nguyen,2021-08-11 22:47:58,62,117
Aisha Wong,2023-01-31 09:57:27,60,141
Yasmin Takahashi,2021-12-06 17:02:50,51,126
Tariq Ishikawa,2022-08-08 18:14:34,4,128
Priya Wong,2022-04-24 07:46:44,11,123
Tariq Singh,2024-03-06 23:21:27,11,116
Darius Takahashi,2020-12-06 14:30:48,65,111
Xia Chung,2024-08-06 18:32:29,63,146
Aisha Lam,2020-01-29 02:00:51,51,146
Omar Hassan,2022-04-23 04:43:48,70,151
Raj Ramirez,2024-09-22 14:03:30,39,144
Raj Ramirez,2024-06-11 23:15:28,46,130
Carlos Escobar,2021-07-31 00:06:52,36,136
Usha Khan,2022-05-17 14:51:35,63,100
Nina Hassan,2021-08-26 23:13:31,27,143
Yasmin Davis,2020-06-07 01:13:51,20,152
Chen Vasquez,2021-06-16 22:05:52,18,102
Jin Yu,2022-12-22 21:01:15,70,119
Nina Bautista,2021-02-20 18:36:28,16,105
Aisha Vasquez,2020-09-17 02:29:33,21,109
Elena Jones,2020-07-18 15:29:51,45,162
Vinh Hassan,2024-04-09 00:20:12,16,118
Chen Yu,2021-01-23 06:17:24,2,158
Usha Chung,2020-07-28 20:54:05,54,155
Hiroshi Garcia,2022-10-10 05:26:41,21,159
Carlos Ishikawa,2023-06-05 12:20:19,56,155
Tariq Wong,2023-02-04 18:01:55,40,125
Elena Khan,2022-12-01 15:46:48,63,118
Elena Singh,2020-07-01 17:28:31,69,150
Yasmin Khan,2022-01-17 08:00:51,11,148
Vinh Escobar,2021-11-22 16:31:41,46,126
Binh Takahashi,2022-04-23 14:41:17,68,136
Yasmin Ishikawa,2020-11-07 10:08:35,6,103
Linh Hassan,2021-02-01 18:56:30,56,130
Clara Wong,2020-09-26 16:35:07,50,130
Xia Jones,2021-12-08 18:18:35,30,110
Elena Zhang,2024-06-15 15:46:26,31,117
Zain Singh,2023-01-31 16:49:08,2,110
Amina Garcia,2020-08-08 21:19:59,46,108
Tariq Khan,2020-04-29 12:46:03,42,153
Tariq Nguyen,2020-08-05 17:41:53,16,127
Hiroshi Wong,2022-10-26 15:09:51,49,157
Xia Singh,2024-03-27 10:36:06,13,131
David Zhang,2020-07-25 00:22:27,56,130
Omar Wong,2024-06-23 23:30:08,71,106
Raj Mendez,2023-06-29 03:00:00,8,135
David Escobar,2021-03-13 11:55:45,2,158
Hiroshi Mendez,2023-01-13 06:54:34,10,136
Hiroshi Zhang,2021-08-05 06:50:57,49,104
Fatima Jones,2023-05-17 12:25:39,49,100
Clara Singh,2024-01-20 20:13:09,9,156
Sofia Garcia,2024-10-18 06:52:24,67,126
Hiroshi Bautista,2022-12-04 23:13:06,63,120
Chen Ahmed,2022-11-11 02:29:04,60,139
Omar Nguyen,2022-11-13 19:37:00,11,118
Zain Fujimoto,2023-04-06 17:56:29,57,131
Zain Nguyen,2023-05-04 16:11:50,4,145
Sofia Ishikawa,2022-07-20 11:44:23,36,155
Zain Nguyen,2022-05-31 18:26:36,69,135
Raj Nguyen,2021-07-28 20:52:23,58,110
Binh Chung,2022-03-27 04:23:17,42,108
Nina Chung,2024-07-06 02:54:07,16,122
Tariq Lam,2021-12-03 15:10:08,49,107
Esteban Garcia,2021-08-26 20:55:10,35,124
Clara Xian,2020-04-14 15:47:56,27,118
Tariq Qureshi,2024-10-07 14:16:44,50,109
Omar Bautista,2023-06-12 14:12:34,67,106
Raj Yu,2023-10-26 09:14:51,56,111
Darius Patel,2022-07-16 02:41:03,43,137
Aisha Jones,2021-02-19 07:13:50,10,145
Ibrahim Khan,2023-04-16 19:05:03,55,160
David Ahmed,2024-08-20 09:09:40,41,159
Priya Ishikawa,2024-09-19 01:50:11,17,140
Amina Bautista,2023-02-28 06:14:45,22,144
Vinh Singh,2020-04-29 16:38:00,45,128
Carlos Vasquez,2024-02-01 03:38:43,53,123
Jin Khan,2020-09-05 03:25:27,12,110
Ibrahim Hassan,2020-05-09 00:16:05,23,151
Darius Zhang,2024-10-19 14:41:55,71,136
Carlos Mendez,2022-02-26 21:17:46,33,128
Linh Zhang,2024-03-04 08:31:16,40,104
Vinh Singh,2022-08-16 17:57:35,32,122
Zain Singh,2023-05-09 17:20:58,26,162
Raj Escobar,2022-08-03 10:42:47,38,150
Ibrahim Xian,2020-11-08 02:15:13,40,104
Darius Fujimoto,2022-04-09 09:46:59,26,131
Elena Mendez,2024-04-14 05:32:42,66,156
Karim Ishikawa,2021-11-22 06:52:56,64,105
Binh Fujimoto,2020-01-06 13:02:20,53,115
Darius Hassan,2023-07-12 15:28:00,42,160
Usha Yu,2023-01-09 06:43:23,48,110
Vinh Mendez,2022-06-23 22:20:14,52,148
Karim Jones,2021-02-10 19:59:05,22,132
Amina Garcia,2022-09-10 05:42:25,63,139
Maria Patel,2023-05-16 22:48:55,3,141
Linh Jones,2021-07-11 18:47:44,55,128
Darius Takahashi,2022-07-17 20:08:14,61,153
Tariq Garcia,2022-03-07 08:03:18,39,127
Vinh Davis,2020-07-20 11:31:41,36,111
Carlos Ahmed,2023-08-02 10:27:47,69,111
Darius Nguyen,2021-03-29 13:50:49,15,119
Carlos Xian,2024-03-13 11:54:24,18,157
Clara Hassan,2024-08-22 17:14:08,17,161
Hiroshi Garcia,2021-01-06 10:14:44,57,154
Xia Jones,2021-08-06 00:43:58,9,128
Yasmin Mendez,2021-04-26 05:12:05,48,116
Maria Lam,2020-03-20 11:36:09,60,128
Nina Vasquez,2022-11-21 00:04:11,11,147
Linh Ishikawa,2021-10-07 01:24:32,29,125
Yasmin Nguyen,2021-05-06 20:55:57,34,109
Vinh Garcia,2024-10-19 21:31:26,50,145
Xia Chung,2021-01-29 08:26:28,12,137
Usha Vasquez,2020-07-30 16:59:10,39,112
Nina Davis,2024-01-24 18:00:25,10,152
Usha Hassan,2023-11-04 12:58:22,39,127
Tariq Hassan,2023-04-21 00:14:43,55,157
Clara Lam,2022-05-16 04:07:19,23,144
Karim Ramirez,2023-05-07 14:38:30,21,102
Ibrahim Khan,2020-01-26 04:38:17,19,158
Carlos Jones,2023-10-27 14:17:51,28,113
Binh Nguyen,2021-07-10 04:22:19,15,122
Priya Jones,2020-07-27 02:05:56,18,143
Amina Takahashi,2021-08-08 18:18:49,13,127
Omar Fujimoto,2021-01-07 02:38:56,36,133
Zain Garcia,2023-11-17 17:33:58,42,153
David Davis,2024-07-25 01:30:13,35,120
Usha Chung,2024-08-25 05:57:10,38,149
Tariq Garcia,2021-01-31 20:33:26,50,123
Sofia Khan,2020-10-11 20:41:14,69,105
Carlos Singh,2022-07-22 13:56:49,4,128
Nina Zhang,2021-09-22 17:10:48,5,153
Usha Ishikawa,2024-07-02 21:16:21,16,139
Carlos Davis,2021-07-05 23:46:41,30,142
David Davis,2020-07-12 19:46:51,43,160
Amina Wong,2021-10-07 22:56:43,55,159
Zain Ishikawa,2021-12-14 18:38:47,57,100
Elena Chung,2024-09-30 11:13:32,10,103
Carlos Jones,2020-12-29 03:31:16,13,160
Omar Takahashi,2022-12-17 15:34:39,27,101
Ibrahim Davis,2021-10-21 14:14:35,66,159
Linh Khan,2024-07-12 17:59:35,18,155
Amina Ahmed,2020-08-20 16:37:50,42,161
Darius Xian,2022-02-27 18:20:10,8,141
Darius Ishikawa,2022-01-26 18:32:32,19,103
Esteban Nguyen,2024-03-25 19:08:00,15,111
Yasmin Singh,2020-11-17 11:21:16,33,106
Xia Ahmed,2020-05-11 23:07:23,13,135
Hiroshi Jones,2024-03-07 16:22:53,54,138
Darius Jones,2023-07-26 01:55:15,71,131
Aisha Nguyen,2023-12-30 08:14:31,32,145
Omar Bautista,2021-01-23 02:42:49,23,136
Zain Zhang,2024-03-11 22:07:13,71,134
Xia Qureshi,2023-12-30 04:56:44,51,122
Sofia Khan,2023-12-04 12:27:23,36,142
Aisha Lam,2023-09-12 08:32:07,24,130
Elena Patel,2021-03-30 21:37:04,50,117
Amina Fujimoto,2023-12-27 21:09:46,13,142
Clara Ramirez,2022-01-27 05:56:14,21,142
David Ahmed,2022-07-21 14:00:28,28,158
Raj Fujimoto,2023-05-05 02:33:04,33,129
Omar Yu,2023-03-25 06:23:43,30,102
David Chung,2024-06-14 23:50:45,17,108
Vinh Bautista,2022-08-22 15:49:37,65,122
Yasmin Vasquez,2022-06-08 06:46:04,3,157
Carlos Nguyen,2021-06-23 20:41:03,15,109
Maria Patel,2021-03-22 03:27:12,69,118
Yasmin Nguyen,2021-03-15 11:28:14,25,149
Amina Ali,2023-02-20 15:15:55,33,124
Elena Ahmed,2023-08-27 20:28:55,28,141
Elena Ahmed,2023-01-15 02:41:04,27,124
Linh Jones,2022-01-11 05:10:52,40,156
Sofia Hassan,2023-01-18 10:49:08,30,139
Darius Garcia,2024-07-27 02:31:55,13,140
Xia Escobar,2022-02-22 01:17:57,8,124
Chen Zhang,2024-06-03 02:58:25,32,126
Esteban Zhang,2020-07-14 20:43:22,33,162
Nina Ali,2024-05-20 02:30:25,19,161
Raj Mendez,2023-03-10 02:11:00,31,112
Linh Lam,2024-07-15 07:15:31,3,137
Hiroshi Qureshi,2023-06-22 11:10:06,65,154
Binh Lam,2020-12-19 23:34:46,63,128
Sofia Wong,2021-08-17 23:31:56,61,117
David Mendez,2021-06-02 17:41:40,8,123
Aisha Khan,2020-02-13 03:25:16,48,109
Aisha Ishikawa,2020-02-19 09:54:55,39,141
Binh Bautista,2021-02-06 18:39:43,10,131
Zain Escobar,2020-05-31 00:51:44,10,123
Usha Lam,2023-11-27 19:09:58,60,125
Carlos Chung,2024-10-13 21:34:51,11,112
Darius Xian,2024-07-04 13:50:45,59,155
Yasmin Vasquez,2024-10-20 16:13:09,70,132
Ibrahim Chung,2020-06-29 16:24:35,33,141
Clara Zhang,2021-06-16 17:02:04,37,145
Maria Zhang,2023-11-06 18:28:42,66,133
Xia Fujimoto,2021-09-09 18:08:53,38,153
Xia Hassan,2023-07-23 11:36:46,45,111
Maria Qureshi,2020-11-12 05:28:48,21,157
Chen Yu,2022-01-01 04:00:51,55,151
Nina Bautista,2021-09-03 12:38:44,21,142
Darius Chung,2024-04-13 23:12:53,24,156
Zain Jones,2022-11-23 14:49:46,18,105
Xia Ramirez,2022-05-04 16:20:10,48,123
Tariq Ishikawa,2024-01-02 20:11:19,10,106
Jin Hassan,2024-08-15 08:25:22,2,153
Clara Jones,2022-01-31 00:00:00,33,108
Karim Khan,2020-06-20 19:47:07,21,129
Binh Nguyen,2024-06-30 16:34:11,16,129
David Bautista,2022-08-09 03:43:08,14,137
Tariq Qureshi,2022-12-22 10:32:33,6,142
Jin Qureshi,2021-09-15 23:37:03,4,158
Xia Ali,2023-03-20 13:47:16,32,161
Carlos Takahashi,2024-07-01 14:22:15,50,145
Elena Vasquez,2022-07-26 19:17:52,20,119
David Mendez,2024-03-09 20:43:52,50,160
Tariq Ishikawa,2023-09-08 14:54:12,26,159
Maria Wong,2022-12-08 01:14:53,31,156
Maria Ali,2024-03-23 18:26:28,20,137
David Qureshi,2022-08-15 01:45:56,4,138
Fatima Mendez,2021-09-06 11:49:36,34,115
Esteban Jones,2020-01-22 02:10:20,68,148
Jin Lam,2021-10-05 12:13:18,27,111
Vinh Escobar,2024-04-01 00:46:51,1,149
Nina Jones,2022-08-24 06:59:51,22,130
Carlos Ahmed,2021-02-01 00:14:05,59,162
Maria Fujimoto,2020-08-03 05:21:15,49,126
Tariq Mendez,2022-03-23 14:34:23,40,128
Maria Jones,2022-05-20 19:13:04,46,141
Elena Patel,2021-03-11 12:42:49,27,110
Elena Bautista,2022-01-09 05:45:10,11,141
Binh Fujimoto,2024-06-09 20:18:16,35,106
Clara Garcia,2022-07-05 23:16:47,40,151
Chen Singh,2022-07-28 14:01:04,30,141
Nina Jones,2024-04-03 15:12:31,37,130
Aisha Qureshi,2024-04-27 20:14:23,48,128
Tariq Mendez,2022-11-27 18:08:44,5,149
Maria Mendez,2020-05-03 23:19:53,15,141
Hiroshi Patel,2023-09-05 10:17:33,42,146
Esteban Yu,2022-11-30 03:40:49,43,138
Esteban Qureshi,2021-04-26 01:28:58,28,117
Darius Ramirez,2021-03-11 12:34:53,18,127
Vinh Lam,2022-09-23 20:25:00,58,161
Usha Chung,2023-02-14 13:00:18,7,142
Hiroshi Vasquez,2022-07-31 07:16:30,57,112
Xia Davis,2021-08-12 10:01:05,55,156
Fatima Ahmed,2024-07-18 01:51:44,16,124
Usha Qureshi,2022-01-19 23:10:30,31,119
Vinh Xian,2021-06-02 11:09:50,26,161
Omar Garcia,2021-01-29 21:36:08,18,135
Tariq Escobar,2024-08-03 12:52:35,41,153
Linh Davis,2021-09-09 15:08:56,22,122
Sofia Nguyen,2021-01-26 18:25:40,62,143
Omar Vasquez,2021-10-12 21:45:44,59,129
Elena Ali,2020-04-01 06:02:01,71,153
Maria Jones,2023-01-01 16:14:29,38,125
Elena Hassan,2021-03-12 20:55:30,42,150
Chen Khan,2024-09-22 12:30:07,40,146
David Nguyen,2021-05-11 15:06:52,58,154
Tariq Khan,2023-02-24 17:31:48,57,111
Esteban Hassan,2022-11-29 13:15:53,20,117
Aisha Wong,2023-07-12 22:45:44,36,161
Linh Garcia,2021-08-09 01:31:38,67,122
Tariq Jones,2021-07-06 05:00:30,7,104
Linh Singh,2022-11-13 02:46:51,28,160
Nina Wong,2022-02-28 17:51:56,22,144
Jin Khan,2022-02-11 16:01:49,61,150
Xia Yu,2024-04-21 10:57:50,54,124
Sofia Khan,2020-08-25 13:31:30,38,135
Darius Chung,2023-09-16 17:04:03,71,162
Jin Ramirez,2020-02-23 21:52:22,56,100
Usha Chung,2020-12-12 23:37:09,22,140
Zain Nguyen,2023-01-08 23:03:13,70,138
Raj Vasquez,2020-07-05 23:10:24,56,133
Clara Escobar,2021-03-08 07:58:46,21,134
Yasmin Yu,2021-08-11 23:24:00,69,101
David Nguyen,2020-03-29 06:43:26,13,133
Karim Bautista,2022-09-03 14:05:50,60,143
Amina Bautista,2023-12-28 16:16:15,67,151
Raj Wong,2024-04-12 15:49:20,30,137
Linh Nguyen,2020-04-09 22:23:46,56,150
Xia Mendez,2023-02-01 20:18:23,37,111
Priya Garcia,2023-09-21 03:27:09,70,109
Tariq Xian,2024-10-05 09:00:40,50,162
David Bautista,2022-03-20 02:51:11,39,101
Maria Ahmed,2023-03-17 01:59:25,5,138
Tariq Singh,2022-01-22 09:50:36,20,122
Vinh Lam,2021-01-04 09:37:02,35,130
Fatima Nguyen,2022-05-30 16:52:44,69,133
Zain Yu,2024-06-10 14:15:20,46,123
Chen Escobar,2024-04-02 19:02:40,14,134
Ibrahim Escobar,2022-07-11 04:16:43,20,147
Xia Ishikawa,2024-05-07 00:31:47,2,140
Usha Yu,2021-06-07 03:17:24,63,131
Carlos Mendez,2023-11-28 22:49:47,62,117
Nina Qureshi,2022-10-12 13:20:10,29,144
Carlos Lam,2021-04-30 14:12:25,25,133
Zain Ali,2021-09-22 21:10:14,59,107
Elena Hassan,2024-06-29 19:47:11,11,122
Aisha Garcia,2024-02-11 10:08:10,31,120
Raj Wong,2023-05-28 20:50:54,23,120
Amina Khan,2023-01-08 04:32:58,14,133
Elena Ali,2021-08-17 13:25:48,10,101
Vinh Ali,2024-03-11 09:05:12,3,145
Karim Khan,2024-07-26 02:03:26,16,140
Carlos Nguyen,2024-04-17 18:58:40,47,130
Omar Singh,2020-07-29 16:46:08,24,161
Binh Xian,2024-01-28 20:13:33,31,145
Usha Wong,2021-07-15 22:05:47,30,128
Xia Escobar,2022-08-12 05:26:28,66,132
Jin Vasquez,2022-06-09 04:42:41,29,102
Clara Garcia,2022-08-21 17:33:07,28,144
Elena Khan,2021-06-29 02:10:56,46,127
Maria Hassan,2022-10-19 22:13:13,48,116
Amina Ali,2022-08-08 22:54:26,4,145
Usha Ishikawa,2020-12-19 04:04:02,52,148
Clara Chung,2020-11-05 10:27:48,2,152
Zain Ahmed,2022-03-21 14:42:29,63,117
Usha Patel,2024-08-04 08:23:01,20,108
Clara Xian,2020-12-23 20:23:49,62,110
Zain Fujimoto,2024-08-12 08:42:57,53,103
Usha Garcia,2022-09-23 22:10:59,39,112
Karim Garcia,2021-09-03 01:47:19,47,130
Usha Bautista,2023-03-04 19:49:06,51,147
Omar Qureshi,2020-11-19 07:11:30,49,105
Sofia Nguyen,2024-07-03 07:03:54,55,151
Darius Qureshi,2021-07-27 02:00:46,14,149
Sofia Hassan,2021-06-22 23:51:40,69,112
Nina Chung,2021-08-17 04:23:25,26,108
Ibrahim Wong,2021-08-27 16:20:00,11,115
Carlos Mendez,2021-02-13 16:40:38,1,142
Clara Ali,2020-02-21 11:01:33,30,124
Usha Chung,2022-02-06 02:26:56,27,145
Aisha Hassan,2023-03-22 08:47:06,44,123
Yasmin Ali,2022-04-13 11:58:46,10,140
David Takahashi,2024-08-15 15:20:26,38,138
Aisha Jones,2020-04-05 08:16:18,50,162
Yasmin Ali,2023-08-31 09:11:51,5,151
Aisha Mendez,2023-01-16 02:23:26,52,141
Karim Singh,2021-12-24 09:00:29,18,124
Omar Lam,2024-01-02 09:36:12,46,124
Darius Ali,2023-10-02 18:44:15,4,123
Omar Patel,2020-05-24 01:04:20,45,140
Binh Chung,2022-08-24 20:30:25,45,137
Elena Jones,2022-12-02 13:03:17,65,108
Ibrahim Zhang,2021-04-06 19:12:03,67,108
Hiroshi Zhang,2021-05-06 14:11:36,6,162
Darius Nguyen,2023-01-05 21:28:57,56,145
Xia Chung,2024-06-06 22:51:36,44,102
Esteban Vasquez,2021-04-03 11:25:44,67,117
Carlos Khan,2020-05-12 01:07:15,7,139
Usha Yu,2022-06-27 08:38:15,46,104
Zain Vasquez,2021-04-03 11:52:06,51,122
Usha Chung,2023-11-28 13:56:11,3,100
Ibrahim Khan,2023-06-27 17:43:40,24,105
Xia Ali,2023-08-24 06:49:15,7,159
Elena Nguyen,2023-10-28 08:22:24,28,132
Aisha Jones,2021-03-01 22:56:33,41,142
Fatima Bautista,2023-07-26 13:42:49,40,140
Chen Ali,2024-07-23 14:34:51,45,103
Darius Escobar,2020-11-15 10:02:15,34,159
Zain Yu,2023-11-28 14:46:21,5,151
Karim Lam,2020-03-28 22:55:59,23,112
Ibrahim Zhang,2022-10-24 14:45:35,28,108
Aisha Khan,2020-01-03 10:44:07,41,119
Usha Ramirez,2023-09-12 21:03:21,23,155
Raj Ahmed,2021-10-26 22:09:46,33,112
Usha Escobar,2023-04-03 08:37:29,45,159
Aisha Patel,2023-06-17 22:32:35,30,123
Binh Davis,2023-07-09 16:22:10,51,155
Usha Bautista,2023-11-11 03:03:16,4,122
Carlos Mendez,2023-09-14 02:06:47,40,145
Tariq Ahmed,2021-12-07 16:33:50,16,126
Raj Bautista,2023-06-01 07:21:02,54,152
Fatima Jones,2021-09-20 06:14:40,62,124
Yasmin Hassan,2020-05-14 18:02:53,10,151
Fatima Garcia,2020-07-18 12:17:52,15,145
Chen Wong,2020-04-05 22:35:08,31,149
Xia Takahashi,2020-12-10 22:59:53,14,154
Elena Qureshi,2024-06-16 07:53:02,19,149
Binh Nguyen,2022-09-28 03:23:46,3,153
Hiroshi Lam,2020-06-20 10:11:49,28,139
Yasmin Qureshi,2021-10-19 04:57:14,18,158
Darius Vasquez,2021-09-04 05:49:40,53,154
Usha Singh,2022-05-22 14:50:55,10,139
Linh Bautista,2023-06-10 13:16:33,34,110
Nina Yu,2022-12-09 01:20:46,68,101
Carlos Ishikawa,2021-04-25 14:41:26,20,108
Zain Wong,2024-06-22 01:12:35,26,161
Binh Escobar,2022-08-19 07:00:09,27,106
Binh Vasquez,2022-02-23 23:33:50,12,100
Aisha Hassan,2023-04-09 19:37:24,12,141
Yasmin Davis,2021-11-19 01:10:14,29,107
Esteban Wong,2020-12-16 10:16:16,28,131
Maria Escobar,2024-04-15 16:15:35,11,145
